date,solar_irradiance,wind_speed,temperature,humidity
2020-01-01,185.47375,2.62625,16.17625,81.39625
2020-01-02,135.09541666666667,2.529166666666667,18.340833333333332,84.95291666666667
2020-01-03,32.88375,3.8008333333333333,17.016666666666666,92.7325
2020-01-04,79.34750000000001,2.1620833333333334,17.22833333333333,90.73291666666667
2020-01-05,140.36291666666668,2.625,17.631666666666668,85.79458333333334
2020-01-06,179.68875,2.1170833333333334,15.918333333333335,78.09583333333333
2020-01-07,187.6075,1.1429166666666666,16.64875,74.75125
2020-01-08,174.46291666666664,1.8441666666666665,16.944583333333334,76.49
2020-01-09,104.13583333333334,1.4545833333333336,19.0025,89.03958333333333
2020-01-10,106.42375,2.125,18.098333333333333,86.40583333333332
2020-01-11,171.62166666666667,2.6191666666666666,15.117083333333333,79.20083333333334
2020-01-12,195.47916666666666,2.4495833333333334,14.158333333333333,73.47458333333334
2020-01-13,193.8375,2.13375,15.309166666666668,68.93833333333333
2020-01-14,185.93291666666667,1.6466666666666667,16.885833333333334,66.87875
2020-01-15,157.27,1.3745833333333335,18.372083333333332,70.66333333333334
2020-01-16,190.47333333333333,1.39125,19.392083333333332,76.71541666666667
2020-01-17,192.43375,1.3566666666666667,19.405416666666667,79.20791666666666
2020-01-18,194.35083333333333,1.01875,19.741249999999997,74.06666666666666
2020-01-19,209.71708333333333,1.035,20.28708333333333,67.25625000000001
2020-01-20,154.49458333333334,1.5929166666666668,19.077083333333334,84.35125000000001
2020-01-21,111.9325,1.6829166666666666,18.60875,84.12041666666666
2020-01-22,167.87041666666667,1.4037499999999998,18.972083333333334,78.03875000000001
2020-01-23,147.09125,1.9712500000000002,20.215833333333332,78.36291666666666
2020-01-24,168.76333333333335,1.9120833333333334,19.65875,76.34333333333333
2020-01-25,193.5533333333333,1.4891666666666665,17.84958333333333,68.99291666666666
2020-01-26,174.55416666666667,2.5683333333333334,17.4275,71.30624999999999
2020-01-27,210.85125000000002,2.3716666666666666,17.704583333333332,64.67041666666667
2020-01-28,174.99416666666664,1.84875,19.370833333333334,70.00041666666667
2020-01-29,156.11291666666668,1.9349999999999998,22.708333333333332,84.42208333333333
2020-01-30,143.57666666666668,3.1487499999999997,21.4675,81.42416666666666
2020-01-31,151.57958333333332,2.0566666666666666,18.9075,80.34541666666667
2020-02-01,126.04833333333333,2.1575,18.765,82.08333333333333
2020-02-02,126.60958333333333,2.0091666666666668,19.061666666666667,81.83333333333333
2020-02-03,152.48958333333334,2.3820833333333336,18.390833333333333,80.34875
2020-02-04,129.28416666666666,1.9870833333333333,18.54375,79.73125
2020-02-05,73.32208333333334,1.3325,18.055416666666666,85.00375
2020-02-06,114.26583333333333,1.9454166666666666,19.605,81.7
2020-02-07,48.56125,3.7383333333333333,19.037916666666664,87.73583333333333
2020-02-08,30.264166666666668,4.705,17.78125,90.19708333333334
2020-02-09,130.34375,2.87375,18.714583333333334,82.76541666666667
2020-02-10,202.04,1.5250000000000001,18.75375,70.86041666666667
2020-02-11,223.59166666666667,1.8920833333333331,17.922916666666666,59.57958333333334
2020-02-12,218.80041666666668,2.315,17.607499999999998,59.38916666666666
2020-02-13,232.19458333333333,3.642916666666667,18.089166666666667,65.89708333333333
2020-02-14,240.71124999999998,3.8995833333333336,20.08791666666667,66.07041666666667
2020-02-15,240.585,2.3804166666666666,21.175416666666667,62.96291666666667
2020-02-16,222.09083333333334,1.7133333333333332,20.90375,58.65625
2020-02-17,219.84833333333333,2.17625,20.637916666666666,58.525416666666665
2020-02-18,238.0945833333333,2.2070833333333333,20.517500000000002,55.51333333333333
2020-02-19,236.49416666666664,2.2691666666666666,20.140416666666667,59.48666666666667
2020-02-20,227.50375,2.4825,21.785416666666666,76.22833333333334
2020-02-21,240.21875,2.2329166666666667,21.784583333333334,68.05291666666666
2020-02-22,221.66875000000002,1.8191666666666668,21.812916666666666,64.86041666666667
2020-02-23,215.44708333333332,1.7375,22.113333333333333,59.2725
2020-02-24,81.02333333333333,2.1475,22.67125,65.17625
2020-02-25,69.23083333333334,2.0858333333333334,22.762083333333333,83.27666666666666
2020-02-26,180.26125000000002,2.57125,21.825,74.76541666666667
2020-02-27,239.56583333333333,2.5329166666666665,20.285,64.99916666666667
2020-02-28,213.85916666666665,1.7720833333333335,20.87333333333333,69.95625
2020-02-29,212.84958333333336,1.5695833333333333,22.207916666666666,71.76916666666666
2020-03-01,219.78166666666667,1.7699999999999998,22.862083333333334,72.3225
2020-03-02,210.58291666666665,2.15375,23.694166666666664,65.83666666666666
2020-03-03,216.83166666666668,2.5866666666666664,24.162916666666664,66.44166666666666
2020-03-04,145.83124999999998,3.21875,24.745833333333334,74.59625
2020-03-05,161.36875,2.4899999999999998,24.49625,76.11541666666666
2020-03-06,176.40875000000003,3.20875,23.730416666666667,82.02625
2020-03-07,172.81958333333333,3.1308333333333334,24.839166666666667,81.64458333333333
2020-03-08,193.0475,2.7295833333333337,25.193749999999998,78.62583333333333
2020-03-09,251.5525,2.37875,24.065416666666668,63.257083333333334
2020-03-10,219.4325,1.7612500000000002,24.207083333333333,63.298750000000005
